ProfDU,user_rating,movie_length,Director Value,Producer Power,Star Power,estmated_budget,opening_weekend,grossboxoffice
1,6.3,133,3,2,3,70000000,19011188,52474616
0,3.9,89,2,2,2,20000000,19020655,67192859
1,5.6,87,3,2,3,49000000,19112404,43905746
0,7.1,99,2,2,3,28000000,19167085,91826289
0,5.9,93,2,2,2,34000000,19173094,54098051
0,5.7,98,2,2,3,40000000,19288438,141591324
0,7.1,144,4,2,3,130000000,19635996,152000000
0,4.5,88,3,4,2,16000000,19810585,42638165
1,6.7,129,3,3,4,80000000,20018620,65948711
0,4.8,102,4,3,4,85000000,20131130,131426169
0,5.3,95,2,4,3,45000000,20159925,52580895
0,5.2,93,4,3,3,80000000,20220412,126121167
0,5.7,87,2,2,2,2000000,20366613,40990055
0,6.2,96,3,2,3,18000000,20377426,95001351
0,6.3,122,3,2,2,20000000,20497596,36842118
0,5.8,107,2,2,2,20000000,20512304,57744720
0,7,126,4,4,4,75000000,20574802,180557550
0,6.2,102,3,2,3,12000000,20627433,75074950
0,6.4,92,2,2,2,35000000,20828511,45802315
0,7.4,140,3,4,3,87000000,20854735,148336445
0,5.8,93,2,3,3,45000000,21018141,101702060
0,5.7,91,2,3,3,42000000,21022111,117575636
0,6.8,109,3,4,3,45000000,21176925,74484168
0,5.1,93,3,2,3,90000000,21406781,102001626
0,4.8,87,3,2,2,15000000,21607203,66966987
0,3.6,98,3,3,3,64000000,21613176,101595121
0,6.9,126,3,3,3,92000000,21689125,143049560
0,6.8,121,3,2,3,22000000,21753759,95708457
0,5.2,117,3,2,4,90000000,21783641,156505388
0,5.6,101,2,2,3,30000000,21959233,122650962
0,8.2,111,4,3,3,55000000,22089322,178398138
0,6.4,97,4,3,3,26000000,22203007,160846332
0,8.1,120,4,2,3,40000000,22445653,96917897
0,5.7,96,3,3,3,80000000,22610437,123729176
1,6.9,98,4,2,4,100000000,22688457,81557479
0,5.2,113,3,3,3,40000000,22956453,95149435
0,5,104,2,2,2,100000000,23239907,249430327
1,6.4,106,3,2,3,100000000,23373102,65247655
0,6.2,102,3,3,3,29000000,23424118,55845943
0,4.9,99,2,2,2,35000000,23708174,81150692
0,6.1,116,3,2,3,50000000,23774850,177085826
1,6.5,113,3,2,2,155000000,24005069,104383624
0,7.8,154,3,4,4,140000000,24271354,456758981
1,4.8,99,3,2,3,90000000,24278410,75817994
0,8,91,4,4,4,38000000,24850000,170938575
1,7.1,140,3,3,4,100000000,25271675,97030725
0,6,134,4,2,3,135000000,25723815,163777560
0,5.5,112,3,2,3,95000000,26414386,191200000
0,7.8,117,3,3,5,55000000,26541709,304850102
0,7.4,101,3,3,3,28000000,26722575,102356381
0,6.6,106,3,2,3,50000000,26857181,62318875
0,8.5,151,4,3,4,90000000,26887467,132373442
0,7.8,119,3,2,4,60000000,27118640,121468960
0,6.1,99,4,3,4,80000000,27450296,109993847
0,7.1,117,4,2,3,75000000,27476745,202548575
1,6.5,115,4,2,3,150000000,27515871,82161969
0,5.9,112,2,2,3,13000000,27526443,91057006
0,5.6,98,4,2,3,40000000,27557647,190212113
0,6.4,96,3,2,3,38000000,27605576,88915214
0,5.4,92,3,2,3,60000000,27623580,104148781
1,7.2,125,3,2,3,70000000,27726210,62647540
0,6.5,108,3,2,3,52000000,27751240,602609487
0,6.1,98,3,2,3,9200000,28094014,107071655
0,7.7,129,3,2,4,45000000,28954945,88504640
0,7.1,136,2,2,3,30000000,29168180,67253092
0,3,121,3,2,3,20000000,29289537,60072596
0,6.6,92,2,2,4,20000000,30070196,114324072
0,7.8,141,4,2,4,52000000,30082000,351112395
0,5.7,102,4,3,4,48000000,30181877,138191428
0,7.1,90,3,3,3,100000000,30304648,124870275
0,5.9,108,3,3,3,25000000,30468614,80014842
0,5.2,95,4,4,4,56000000,30552694,113006880
0,4.8,104,3,4,3,50000000,30675314,110594793
1,5,88,2,2,3,150000000,31706934,119420252
0,5.3,91,3,2,3,25000000,31832636,146336178
0,7.5,128,3,2,3,110000000,33369559,134527196
0,6.3,127,4,3,4,70000000,33614543,374111707
0,7.3,120,4,3,3,72000000,34539115,75754670
0,8.4,155,4,3,4,103000000,34819017,258264745
0,6.7,103,3,2,3,80000000,34825135,266159621
0,5.8,108,3,2,3,38000000,35648740,180622424
1,4.9,109,4,2,2,105000000,35867488,94770548
0,6.5,100,3,2,4,110000000,36011243,118311368
1,6.8,140,4,2,4,200000000,36063385,105219735
0,6.9,122,3,4,4,85000000,36133403,311312624
0,7,115,3,3,3,60000000,36367586,244082376
1,3.9,146,3,2,3,100000000,36835353,95328937
0,5.9,117,2,3,3,70000000,37062535,116643346
1,6.7,116,3,2,3,200000000,37813075,90755643
